*Chicken and Broccoli,Chicken Breast_2-breasts,Rice_1-cups,Broccoli_1-stalk
Bell Pepper Chicken,Chicken Breast_2-breasts,Rice_1-cups,Bell Pepper_2-bulbs
*Tacos,Ground Beef_1-lbs,Taco Mix_1-packet,Yellow Onion_.5-bulbs,Tortillas_10-total,Cheese_.5-lbs,Shredded Lettuce_1-cup,Tomatoes_1-bulbs
Fiesta Chicken,Chicken Breast_2-breasts,Corn_1-can,Black Beans_1-can,Fiesta Ranch_1-packet,Rotho Tomatoes_1-can,Diced Tomatoes_1-can,Cream Cheese_1-brick
*Sweet'n'Sour Meatballs,Ground Beef_1-lbs,Brown Sugar_.25-cups,Ketchup_.5-cups,Rice_1-cups
Chili,Ground Beef_1-lbs,Chili Mix_1-packet,Yellow Onion_.5-bulbs,Cheese_.5-lbs,Sour Cream_2-tbsp,Tortilla Chips_.25-bag
Loaded Nachos,Ground Beef_1-lbs,Black Beans_1-can,Cheese_2-lbs,Tortilla Chips_1-bag,Sour Cream_2-tbsp,Salsa_.5-cups,Jalepenos_2-bulbs
Spaghetti and Meatballs,Ground Beef_1-lbs,Marinara Sauce_1-can,Spaghetti_1-box
Fish'n'Chips,Fish_3-fillets,Potatoes_5-spuds
Fried Chicken,Chicken Tenderloins_1-package,Buttermilk_1-cup,Breading_2-cups
